NO,共通ID,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
1504,E1321200058201,日本野鳥の会ＷＩＮＧ跡地,東京都日野市南平2-35-2,1,,,1,,1,,,,35.65475376,139.3996557,
1505,E1321200059201,南平小学校（校庭）,東京都日野市南平4-18-1,,,,1,,1,,,1,35.66013078,139.3991391,
1506,E1321200061201,七生中学校（校庭）,東京都日野市南平6-7-1,,,,1,,1,,,1,35.65866045,139.3938762,
1507,E1321200064201,日野第三小学校（校庭）,東京都日野市日野台2-1-1,1,,,1,,1,,,1,35.67847203,139.3841085,
1508,E1321200065201,日野第一小学校（校庭）,東京都日野市日野本町2-14-1,1,,,1,,1,,,1,35.676825897306,139.39879358462,
1509,E1321200067201,仲田小学校（校庭）,東京都日野市日野本町6-1-74,,,,1,,1,,,1,35.682313666611,139.40250087791,
1510,E1321200069201,市民の森スポーツ公園,東京都日野市日野本町7-12-1,,,,1,,1,,,,35.68006704,139.4022454,
1511,E1321200070201,日野第一中学校（校庭）,東京都日野市日野本町7-7-7,,,,1,,1,,,1,35.679758798045,139.40092008453,
1512,E1321200072201,杉野学園グラウンド,東京都日野市百草1006,1,,,1,,1,,,,35.646610458311,139.42243379325,
1513,E1321200075201,七生緑小学校（校庭）,東京都日野市百草896-1,1,,,1,,1,,,1,35.65374097,139.4223208,
1514,E1321200076201,百草台自然公園,東京都日野市百草914-85,1,,,1,,1,,,,35.653063284237,139.42217680252,
1515,E1321200077201,百草台運動広場,東京都日野市百草999,1,,,1,,1,,,,35.65360245,139.418781,
1516,E1321200074201,帝京大学駐車場,東京都日野市百草８０４－１７外,1,,,1,,1,,,,35.648312,139.425977,
1517,E1321200074202,帝京短期大学グラウンド,東京都日野市百草８０４－１７外,1,,,1,,1,,,,35.64821999,139.4242131,
1518,E1321200078201,平山台健康・市民支援センター（平山台小跡地校庭）,東京都日野市平山2-1-1,1,,,1,,1,,,,35.64034085,139.3872498,
1519,E1321200081201,平山中学校（校庭）,東京都日野市平山4-21-3,,,,1,,1,,,1,35.65139967,139.3855004,
1520,E1321200083201,平山小学校（校庭）,東京都日野市平山4-8-6,1,,,1,,1,,,1,35.64889505,139.3856651,
1521,E1321200089201,万願寺中央公園,東京都日野市万願寺4-20-12,,,,1,,1,,,,35.671416012538,139.41405635952,
1522,E1321200093201,浅川スポーツ公園,東京都日野市万願寺5-3-7,,,,1,,1,,,,35.667954809783,139.41291137509,
1523,E1320100002201,浅川河川敷,東京都八王子市,,,,1,,,,,,35.685332335702,139.28169792099,所在地：八王子市（長沼橋付近～市立上壱分方小学校付近）、想定収容人数：地震（屋外）684242人
1524,E1320100003201,みなみ野君田小学校,東京都八王子市みなみ野4-3-1,,1,,1,,,,,1,35.627177023365,139.32525550512,想定収容人数：地震（屋外）3828人、風水害（屋内）2117人
1525,E1320100004201,みなみ野小学校　（みなみ野小中学校）,東京都八王子市みなみ野6-14-1,1,1,,1,,,1,,1,35.633302640826,139.32296102447,想定収容人数：地震（屋外）4730人、風水害（屋内）1927人
1526,E1320100005201,みなみ野中学校　（みなみ野小中学校）,東京都八王子市みなみ野6-14-2,1,1,,1,,,1,,1,35.632754373972,139.32190802208,想定収容人数：地震（屋外）7246人、風水害（屋内）1996人
1527,E1320100006201,横川小学校,東京都八王子市横川町305,1,1,,1,,,1,,1,35.666864937483,139.30746260799,想定収容人数：地震（屋外）5516人、風水害（屋内）1420人
1528,E1320100007201,横川中学校,東京都八王子市横川町364,1,1,,1,,,1,,1,35.668066968353,139.30553473523,想定収容人数：地震（屋外）7065人、風水害（屋内）1160人
1529,E1320100008201,恩方第一小学校,東京都八王子市下恩方町1369,1,,,1,,,1,,1,35.669303301213,139.25395808398,想定収容人数：地震（屋外）3958人、風水害（屋内）1100人
1530,E1320100009201,元木小学校,東京都八王子市下恩方町515-1,1,1,,1,,,1,,1,35.681105327083,139.26522340318,想定収容人数：地震（屋外）6181人、風水害（屋内）1145人
1531,E1320100010201,由木中央市民センター,東京都八王子市下柚木2-10-6,1,1,,,,,1,,1,35.627000476818,139.38279583922,想定収容人数：風水害（屋内）580人
